DATE,SERIES
2004-01-01,23027874.0
2005-01-01,23883890.0
2006-01-01,24946208.0
2007-01-01,25865040.0
2008-01-01,26688098.0
2009-01-01,26552734.0
2010-01-01,26394024.0
2011-01-01,26201022.0
2012-01-01,25568170.0
2013-01-01,24848968.0
2014-01-01,24350860.0
2015-01-01,24336802.0
2016-01-01,24444186.0
2017-01-01,23601760.0
2018-01-01,23701634.0
2019-01-01,23884014.0
