DATE,CTFPPPJPA669NRUG
1999-01-01,0.728718101978302
2000-01-01,0.7434718608856201
2001-01-01,0.7440893054008484
2002-01-01,0.7435768246650696
2003-01-01,0.7353014349937439
2004-01-01,0.7295172810554504
2005-01-01,0.7363932728767395
2006-01-01,0.7222424745559692
2007-01-01,0.7206791639328003
2008-01-01,0.7081769704818726
2009-01-01,0.6881282329559326
2010-01-01,0.6933405995368958
2011-01-01,0.6839182376861572
2012-01-01,0.6878966689109802
2013-01-01,0.7033358216285706
2014-01-01,0.6908746957778931
2015-01-01,0.699093222618103
2016-01-01,0.6785488724708557
2017-01-01,0.6765821576118469
2018-01-01,0.6564049124717712
2019-01-01,0.6563727855682373
