objectid,oceans,measurement,lat,long,year
11173,Atlantic Ocean,0.028537,35.0936,34.3911,2014
21507,Pacific Ocean,0.217291,32.005,133.013333,2014
13681,Atlantic Ocean,0.053377,45.1215,-9.773833,2019
11837,Atlantic Ocean,0.0,43.063,5.8787,2010
13094,Atlantic Ocean,1.013376,41.791667,9.503333,2011
10764,Atlantic Ocean,0.436,41.175724,1.526081,2021
21578,Pacific Ocean,0.007735,31.005,139.0,2014
21584,Pacific Ocean,0.090635,30.998333,136.993333,2014
13017,Pacific Ocean,1001.0,21.990946,113.898436,2018
22171,Atlantic Ocean,0.0,27.7084,-82.6092,2017
22248,Atlantic Ocean,3.4,27.7084,-82.6092,2017
9507,Atlantic Ocean,0.012,14.0,-59.0,2014
9181,Atlantic Ocean,0.006,18.7792,-47.456,2014
22242,Atlantic Ocean,5.8,27.8493,-82.4314,2016
9822,Pacific Ocean,0.0,-43.5718,172.7665,2016
12115,Pacific Ocean,0.992036,-33.1342,-81.2382,2011
21484,Pacific Ocean,0.080216,-20.34565,148.838833,2020
12994,Atlantic Ocean,0.114039,50.402217,1.145633,2020
14328,Atlantic Ocean,0.034858,56.288167,-2.501667,2020
14445,Atlantic Ocean,0.0,56.125,-4.826833,2021
14107,Atlantic Ocean,0.053303,55.729,-4.9895,2017
14322,Atlantic Ocean,0.042147,55.9465,-2.1475,2020
13658,Atlantic Ocean,0.024366,56.376517,10.94445,2019
13117,Atlantic Ocean,2.505023,41.314,2.2465,2012
13443,Atlantic Ocean,0.236481,42.9385,6.343833,2018
13781,Atlantic Ocean,0.813379,43.168167,10.2515,2021
10123,Atlantic Ocean,37.0,41.1499,-55.6686,2018
22271,Atlantic Ocean,0.543901,38.43987,-9.09325,2018
11150,Atlantic Ocean,0.106896,38.864,12.6117,2014
10787,Atlantic Ocean,2.192667,41.403637,2.2193,2021
21607,Pacific Ocean,0.175423,30.001667,132.995,2014
21601,Pacific Ocean,0.103765,30.493333,133.998333,2014
11451,Atlantic Ocean,2.364218,30.5477,-63.7064,2010
9158,Atlantic Ocean,0.01,21.0698,-37.076,2014
14771,Indian Ocean,2.145833,22.36101,91.874887,2020
22148,Atlantic Ocean,0.0,27.6934,-82.5559,2016
11545,Atlantic Ocean,0.814427,-28.3865,-16.3898,2011
11474,Atlantic Ocean,0.303663,-23.0308,-30.8532,2010
10217,Pacific Ocean,0.068654,-23.87053,162.33852,2012
13466,Pacific Ocean,0.021206,-1.203,135.567833,2017
14130,Atlantic Ocean,0.341743,56.112167,-2.881667,2018
14376,Atlantic Ocean,0.066437,56.1505,-2.3865,2022
13635,Atlantic Ocean,0.0,54.86375,12.305633,2019
12138,Pacific Ocean,0.176073,-28.7311,-103.5486,2011
8889,Pacific Ocean,0.004,20.763,-105.521,2014
10463,Atlantic Ocean,2.179487,38.5445,9.82533,2013
10810,Atlantic Ocean,0.177333,41.397303,2.21315,2021
11056,Atlantic Ocean,0.812937,32.059167,34.748333,2014
10881,Atlantic Ocean,0.29,37.9,24.7,2015
14299,Atlantic Ocean,0.0,56.313667,-2.5485,2019
12971,Atlantic Ocean,2.175247,32.844825,-37.951367,2020
22294,Atlantic Ocean,0.289436,38.44652,-9.04146,2019
10392,Atlantic Ocean,1.603376,42.106833,15.615167,2013
