Country,Year,Inflation
THA,2004,2.75914926231081
THA,2005,4.54036919634535
THA,2006,4.63747436011765
THA,2007,2.24154095286802
THA,2008,5.46848949649846
THA,2009,-0.845716092316721
THA,2010,3.24758842443723
THA,2011,3.80879058139634
THA,2012,3.01489950334994
THA,2013,2.18488618530678
THA,2014,1.8951418189878
THA,2015,-0.900424963291569
THA,2016,0.188149704448234
THA,2017,0.665631893135106
THA,2018,1.06389754183015
THA,2019,0.706728601314311
THA,2020,-0.845937147357041
THA,2021,1.23039541318384
THA,2022,6.07741228434321
THA,2023,1.22802623546169
