DATE,SERIES
2004,23027874
2005,23883890
2006,24946208
2007,25865040
2008,26688098
2009,26552734
2010,26394024
2011,26201022
2012,25568170
2013,24848968
2014,24350860
2015,24336802
2016,24444186
2017,23601760
2018,23701634
2019,23884014
